xf,lnx,lnq
2.5314798816701893,-18,0.3
2.5133428056290184,-18,0.8
2.4980499064666453,-18,1.3
2.4849884315066566,-18,1.8
2.4737072196131717,-18,2.3
2.463867659079137,-18,2.8
2.4552111452032217,-18,3.3
2.447537032855868,-18,3.8
2.440687403345301,-18,4.3
2.434536344122359,-18,4.8
2.428982273909019,-18,5.3
2.4239423598249106,-18,5.8
2.4193483957776953,-18,6.3
2.41514371765391,-18,6.8
2.411280864996624,-18,7.3
2.4077197875517053,-18,7.8
2.404426454633174,-18,8.3
2.4013717658638565,-18,8.8
2.3985306899189918,-18,9.3
2.395881577566444,-18,9.8
2.4021311086800035,-17.8,0.3
2.383922392051515,-17.8,0.8
2.368569086665156,-17.8,1.3
2.3554560195005996,-17.8,1.8
2.3441302473569468,-17.8,2.3
2.334251821027014,-17.8,2.8
2.325561114333205,-17.8,3.3
2.317856689607248,-17.8,3.8
2.3109800043860513,-17.8,4.3
2.3048046487718743,-17.8,4.8
2.299228640245479,-17.8,5.3
2.2941688187405607,-17.8,5.8
2.2895567087539606,-17.8,6.3
2.285335422351664,-17.8,6.8
2.2814573116101937,-17.8,7.3
2.27788216807882,-17.8,7.8
2.274575826651972,-17.8,8.3
2.271509072007372,-17.8,8.8
2.2686567739477166,-17.8,9.3
2.265997197727433,-17.8,9.8
2.2779330148914703,-17.6,0.3
2.2596487013664266,-17.6,0.8
2.244231653857943,-17.6,1.3
2.2310641453397104,-17.6,1.8
2.2196913521323207,-17.6,2.3
2.2097719136658034,-17.6,2.8
2.201045125875873,-17.6,3.3
2.1933087147880594,-17.6,3.8
2.1864034797205494,-17.6,4.3
2.180202485961242,-17.6,4.8
2.1746033275913756,-17.6,5.3
2.1695224992900584,-17.6,5.8
2.1648912412652592,-17.6,6.3
2.1606524294020533,-17.6,6.8
2.156758217957687,-17.6,7.3
2.153168231548519,-17.6,7.8
2.149848163226145,-17.6,8.3
2.1467686763754066,-17.6,8.8
2.1439045364662808,-17.6,9.3
2.1412339185173295,-17.6,9.8
2.1586888648819347,-17.400000000000002,0.3
2.1403247048711656,-17.400000000000002,0.8
2.12484033205336,-17.400000000000002,1.3
2.111615321825835,-17.400000000000002,1.8
2.100192864321821,-17.400000000000002,2.3
2.090230108270488,-17.400000000000002,2.8
2.0814652111287497,-17.400000000000002,3.3
2.0736950156039846,-17.400000000000002,3.8
2.0667596257946794,-17.400000000000002,4.3
2.0605315526725616,-17.400000000000002,4.8
2.0549079431184474,-17.400000000000002,5.3
2.049804927148784,-17.400000000000002,5.8
2.0451534447017083,-17.400000000000002,6.3
2.040896122204758,-17.400000000000002,6.8
